lat,long,elev,
408467686,-802627929,2699,
408467651,-802627972,2699,
408467613,-802628019,2699,
408467591,-802628070,2701,
408467557,-802628109,2701,
408467522,-802628150,2700,
408467487,-802628192,2701,
408467453,-802628231,2701,
408467422,-802628271,2701,
408467390,-802628306,2700,
408467361,-802628345,2701,
408467334,-802628379,2701,
408467301,-802628412,2701,
408467274,-802628460,2701,
408467247,-802628493,2702,
408467230,-802628510,2701,
408467207,-802628540,2701,
408467185,-802628567,2701,
408467161,-802628591,2701,
408467140,-802628617,2701,
408467127,-802628635,2701,
408467109,-802628654,2701,
408467095,-802628673,2701,
408467082,-802628698,2703,
408467069,-802628711,2703,
408467052,-802628733,2703,
408467040,-802628742,2702,
408467029,-802628758,2703,
408467013,-802628776,2702,
408467004,-802628786,2703,
408466996,-802628798,2703,
408466986,-802628809,2703,
408466978,-802628814,2702,
408466958,-802628840,2704,
408466947,-802628852,2704,
408466947,-802628853,2704,
408466943,-802628855,2704,
408466940,-802628865,2704,
408466938,-802628868,2704,
408466933,-802628869,2704,
408466928,-802628879,2704,
408466928,-802628882,2705,
408466924,-802628881,2704,
408466946,-802628888,2705,
408466947,-802628887,2705,
408466948,-802628886,2705,
408466948,-802628886,2705,
408466948,-802628886,2705,
408466948,-802628885,2705,
408466950,-802628884,2705,
408466950,-802628884,2705,
408466948,-802628885,2705,
408466949,-802628884,2705,
408466947,-802628885,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466933,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466931,-802628877,2705,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466927,-802628879,2706,
408466914,-802628871,2706,
408466914,-802628871,2706,
408466914,-802628871,2706,
