lat,long,elev,time
408645591,-778368997,3347,5.31
408645499,-778369111,3347,5.32
408645406,-778369230,3347,5.33
408645315,-778369346,3347,5.34
408645223,-778369461,3346,5.35
408645129,-778369578,3346,5.36
408645036,-778369691,3346,5.37
408644941,-778369805,3346,5.38
408644848,-778369916,3346,5.39
408644750,-778370026,3346,5.4
408644657,-778370139,3346,5.41
408644559,-778370242,3346,5.42
408644463,-778370350,3345,5.43
408644361,-778370456,3345,5.44
408644265,-778370558,3345,5.45
408644164,-778370663,3345,5.46
408644065,-778370765,3345,5.47
408643968,-778370866,3344,5.48
408643868,-778370968,3344,5.49
408643768,-778371070,3344,5.5
408643670,-778371169,3345,5.51
408643566,-778371264,3344,5.52
408643466,-778371358,3344,5.53
408643362,-778371450,3344,5.54
408643258,-778371542,3343,5.55
408643158,-778371631,3344,5.56
408643049,-778371715,3343,5.57
408642945,-778371801,3343,5.58
408642840,-778371891,3344,5.59
408642733,-778371970,3343,5.6
408642635,-778372052,3343,5.61
408642528,-778372129,3343,5.62
408642420,-778372210,3343,5.63
408642310,-778372287,3343,5.64
408642205,-778372359,3343,5.65
408642097,-778372433,3343,5.66
408641988,-778372505,3343,5.67
408641881,-778372573,3343,5.68
408641772,-778372645,3343,5.69
408641660,-778372713,3343,5.7
408641552,-778372784,3342,5.71
408641441,-778372844,3342,5.72
408641333,-778372907,3342,5.73
408641220,-778372967,3342,5.74
408641109,-778373028,3341,5.75
408640995,-778373087,3341,5.76
408640882,-778373145,3341,5.77
408640768,-778373203,3341,5.78
408640656,-778373257,3340,5.79
408640544,-778373310,3340,5.8
408640430,-778373370,3341,5.81
408640314,-778373417,3340,5.82
408640195,-778373468,3340,5.83
408640083,-778373514,3340,5.84
408639968,-778373557,3339,5.85
408639848,-778373602,3339,5.86
408639735,-778373648,3339,5.87
408639618,-778373685,3339,5.88
408639503,-778373718,3338,5.89
408639144,-778373831,3338,5.9
408639027,-778373862,3338,5.91
408638909,-778373891,3338,5.92
408638788,-778373919,3337,5.93
408638670,-778373948,3337,5.94
408638550,-778373976,3337,5.95
408638430,-778373997,3337,5.96
408638307,-778374021,3337,5.97
408638189,-778374045,3337,5.98
408638070,-778374072,3337,5.99
408637830,-778374104,3336,6
408637586,-778374141,3336,6.01
408637463,-778374156,3335,6.02
408637343,-778374172,3335,6.03
408637224,-778374183,3335,6.04
408637100,-778374200,3335,6.05
408636980,-778374210,3335,6.06
408636861,-778374230,3335,6.07
408636742,-778374236,3334,6.08
408636620,-778374248,3334,6.09
408636495,-778374261,3334,6.1
408636374,-778374270,3334,6.11
